HalfHourInterval,RegionID,Percentile,Value
26/06/2025 4:30,VIC1,P75,132.72
26/06/2025 4:30,VIC1,P25,131.88773
26/06/2025 4:30,VIC1,P90,141.13676
26/06/2025 4:30,VIC1,P10,128.70847
26/06/2025 4:30,VIC1,P95,253.46633
26/06/2025 4:30,VIC1,P5,96.95
26/06/2025 4:30,VIC1,P50,132.72
26/06/2025 5:00,VIC1,P75,155.09477
26/06/2025 5:00,VIC1,P25,122.02
26/06/2025 5:00,VIC1,P90,173.45453
26/06/2025 5:00,VIC1,P10,122.02
26/06/2025 5:00,VIC1,P95,183.85
26/06/2025 5:00,VIC1,P5,115.8008
26/06/2025 5:00,VIC1,P50,140.52125
26/06/2025 5:30,VIC1,P75,134.23857
26/06/2025 5:30,VIC1,P25,122.02
26/06/2025 5:30,VIC1,P90,141.55885
26/06/2025 5:30,VIC1,P10,118.42281
26/06/2025 5:30,VIC1,P95,177.93336
26/06/2025 5:30,VIC1,P5,113.13825
26/06/2025 5:30,VIC1,P50,122.02
26/06/2025 6:00,VIC1,P75,179.91256
26/06/2025 6:00,VIC1,P25,160.01
26/06/2025 6:00,VIC1,P90,180.3923
26/06/2025 6:00,VIC1,P10,160.01
26/06/2025 6:00,VIC1,P95,200.02
26/06/2025 6:00,VIC1,P5,143.38157
26/06/2025 6:00,VIC1,P50,176.10665
26/06/2025 6:30,VIC1,P75,243.27378
26/06/2025 6:30,VIC1,P25,224.81535
26/06/2025 6:30,VIC1,P90,250.81864
26/06/2025 6:30,VIC1,P10,220.02225
26/06/2025 6:30,VIC1,P95,299.5
26/06/2025 6:30,VIC1,P5,185.71344
26/06/2025 6:30,VIC1,P50,237.62033
26/06/2025 7:00,VIC1,P75,398.72
26/06/2025 7:00,VIC1,P25,392.99662
26/06/2025 7:00,VIC1,P90,484.12746
26/06/2025 7:00,VIC1,P10,371.87751
26/06/2025 7:00,VIC1,P95,543.6374
26/06/2025 7:00,VIC1,P5,282.12169
26/06/2025 7:00,VIC1,P50,396.72
26/06/2025 7:30,VIC1,P75,691.16
26/06/2025 7:30,VIC1,P25,600.82
26/06/2025 7:30,VIC1,P90,691.16
26/06/2025 7:30,VIC1,P10,506.12496
26/06/2025 7:30,VIC1,P95,1050.27263
26/06/2025 7:30,VIC1,P5,411.24121
26/06/2025 7:30,VIC1,P50,691.16
26/06/2025 8:00,VIC1,P75,17499.96017
26/06/2025 8:00,VIC1,P25,10409.14267
26/06/2025 8:00,VIC1,P90,17499.98
26/06/2025 8:00,VIC1,P10,9676.17722
26/06/2025 8:00,VIC1,P95,17500
26/06/2025 8:00,VIC1,P5,691.16
26/06/2025 8:00,VIC1,P50,17499.93
