Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
AGL Dalrymple Pty Limited,Dalrymple North BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-Dec,Y,DALNTH1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-Mar,Y,ADPBA1G
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-Mar,Y,ADPBA1L
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1-Feb,Y,ADPMH1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",Y,ADPPV1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Feb,Y,ADPPV2
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,Y,ADPPV3
Aldoga Solar Farm Pty Ltd,Aldoga Solar Farm ,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltalic Tracking Flat Panel,1-157,Y,ALDGASF1
Snowy Hydro Limited,Angaston Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-30,Y,ANGAST1
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-54,N,APPIN
Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-75,Y,ARWF1
Iberdrola Australia Energy Markets Pty Ltd,Avonlie Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-70,Y,AVLSF1
Alinta Energy Retail Sales Pty Ltd,Bairnsdale Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,BDL01
Alinta Energy Retail Sales Pty Ltd,Bairnsdale Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,BDL02
Birdwood Trading Pty Ltd,Baking Board Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,Y,BAKING1
Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-52,Y,BALDHWF1
Enel X Australia Pty Ltd ,Ballarat Base Hospital Plant,VIC1,Generating Unit,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,1-Mar,N,BBASEHOS
AGL Macquarie Pty Limited,Broken Hill Battery Energy Storage System,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-44,Y,BHB1
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 973 Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-30,Y,BANGOWF1
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 999 Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-16,Y,BANGOWF2
AGL Hydro Partnership,Banimboola Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Mar,Y,BAPS
Alinta Energy Retail Sales Pty Ltd,Bannerton Solar Park,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-40,Y,BANN1
Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,Y,BARCALDN
Diamond Energy Pty Ltd,Barcaldine Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Feb,Y,BARCSF1
AGL SA Generation Pty Limited,Barker Inlet Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,1-Dec,Y,BARKIPS1
CleanCo Queensland Limited,Barron Gorge Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Run of River,1,Y,BARRON-1
CleanCo Queensland Limited,Barron Gorge Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Run of River,2,Y,BARRON-2
Basslink Pty Ltd,Basslink HVDC Link,TAS1,Generating Unit,Market,Non-Scheduled,,,,,1,N,BLNKTAS
Basslink Pty Ltd,Basslink HVDC Link,VIC1,Generating Unit,Market,Non-Scheduled,,,,,1,N,BLNKVIC
Hydro-Electric Corporation,Bastyan Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,BASTYAN
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,BW01
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,BW02
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,Y,BW03
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,Y,BW04
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,BBTHREE1
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,BBTHREE2
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,BBTHREE3
Hydro-Electric Corporation,Bell Bay Three Power Station,TAS1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,TVPP104
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Berrybank 2 Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-26,Y,BRYB2WF2
Berrybank Development Pty Ltd,Berrybank Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-43,Y,BRYB1WF1
FS NSW Project No 1 At Pty Ltd ATF The FS NSW Project No 1 Asset Trust,Beryl Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-60,Y,BERYLSF1
Snowy Hydro Limited,Blowering Power Station,NSW1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,BLOWERNG
X-Elio Blue Grass Pty Ltd,Blue Grass Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-112,Y,BLUEGSF1
AGL SA Generation Pty Limited,Torrens Island BESS,SA1,Bidirectional Unit,Market,Scheduled,Battery Storage,Grid,Storage,Battery and Inverter,1-109,Y,TIB1
Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-67,N,BOCORWF1
Bodangora Wind Farm Pty Limited,Bodangora Wind Farm ,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-33,Y,BODWF1
AGL Hydro Partnership,Bogong / Mackay Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Jun,Y,MCKAY1
Iberdrola Australia Energy Markets Pty Limited,Bolivar Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-Apr,Y,BOLIVPS1
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage / Waste Water,Renewable,Pump Storage,1-Mar,N,BOLIVAR1
AGL Sales (Queensland Electricity) Pty Limited,Wandoan Battery Energy Storage System (BESS),QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,Jan-34,Y,WANDB1
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,N,BOWWDG1
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Mar,Y,BOWWPV1
Bomen Solar Farm Pty Ltd as trustee for Bomen SF Trust,Bomen Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-44,Y,BOMENSF1
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Queanbeyan BESS,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter, 1-8,Y,QBYNB1
Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),5,Y,BRAEMAR5
Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),6,Y,BRAEMAR6
Arrow Southern Generation Pty Ltd And Arrow Braemar 2 Pty Ltd,Braemar 2 Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),7,Y,BRAEMAR7
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),1,Y,BRAEMAR1
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),2,Y,BRAEMAR2
Braemar Power Project Pty Ltd,Braemar Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),3,Y,BRAEMAR3
Cape Byron Management Pty Ltd,Broadwater Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1-Feb,N,BWTR1
Blyth Battery Pty Ltd as the Trustee for Blyth Battery Trust,Blyth Battery Energy Storage System,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-64,Y,BLYTHB1
NSW Electricity Networks Operations Pty Ltd as a Trustee for the NSW Electricity Networks Operations Trust,Broken Hill Gas Turbines,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Feb,N,GB01
PARF Company 6 Pty Ltd as The Trustee for Project Trust,Broken Hill Solar Plant,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-80,N,BROKENH1
EDL LFG (Vic) Pty Ltd,Brooklyn LFG U1-3,VIC1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Mar,N,BROOKLYN
Hydro Power Pty Limited,Brown Mountain Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Jun,Y,BROWNMT
EDL LFG (Qld) Pty Ltd,Browns Plains Landfill Gas PS,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Feb,N,BPLANDF1
Bouldercombe Battery Project Co Pty Ltd as trustee for Bouldercombe Battery Project Trust,Bouldercombe Battery Project,QLD1,Bidirectional Unit,market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-40,Y,BBATTERY1
Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-56,Y,BULGANA1
Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,Bungala One Solar Farm,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-54,Y,BNGSF1
Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,Bungala Two Solar Farm,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-54,Y,BNGSF2
AGL Hydro Partnership,Burrendong Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,BDONGHYD
GSP Energy Pty Ltd,Burrinjuck Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Mar,N,BURRIN
Hydro-Electric Corporation,Butlers Gorge Power Station,TAS1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,BUTLERSG
Callide Power Trading Pty Limited,Callide C Nett Off,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,3,Y,CPP_3
Callide Power Trading Pty Limited,Callide C Nett Off,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,4,Y,CPP_4
CS Energy Limited,Callide Power Station,QLD1,Generating Unit,Market,Non-Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,N,-
CS Energy Limited,Callide Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,CALL_B_1
CS Energy Limited,Callide Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,CALL_B_2
Canunda Power Pty Ltd,Canunda Wind Farm,SA1,Generating Unit,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,Jan-23,Y,CNUNDAWF
Bulgana Wind Farm Pty Ltd,Bulgana Green Power Hub,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,Jan-40,Y,BULBES1
Iberdrola Australia Holdings Pty Limited,Capital East Solar Farm,NSW1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Apr,N,CESF1
Iberdrola Australia Holdings Pty Limited,Capital Wind Farm,NSW1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-67,N,CAPTL_WF
Hydro-Electric Corporation,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Aug,Y,LI_WY_CA
Cathedral Rocks Wind Farm Pty Ltd,Cathedral Rocks,SA1,Generating Unit,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,Jan-33,Y,CATHROCK
Wild Cattle Hill Pty Ltd,Cattle Hill Wind Farm,TAS1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,Y,CTHLWF1
Hydro-Electric Corporation,Cethana Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,CETHANA
Pacific Hydro Challicum Hills Pty Ltd,Challicum Hills Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,Y,CHALLHWF
AETV Pty Ltd,Chepstowe Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Mar,N,CHPSTWF1
Cherry Tree Wind Farm Pty Ltd as trustee for The Cherry Tree Project trust ,Cherry Tree Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-16,Y,CHYTWF1
Childers Solar Pty Ltd ATF The Childers Solar Trust,Childers Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-37,Y,CHILDSF1
Capital Battery Pty Ltd as Trustee for Capital Battery Trust,Capital Battery,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-33,Y,CAPBES1
CS Energy Limited,"Chinchilla BESS, Units 1-80",QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-80,Y,CHBESS1
South Australian Water Corporation ,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Biogas - sludge,Combustion,Compression Reciprocating Engine,1,N,CBWWBG1
South Australian Water Corporation ,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-Feb,N,CBWWDG1
South Australian Water Corporation ,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,N,CBWWDG2
South Australian Water Corporation ,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1,N,CBWWPV1
South Australian Water Corporation ,Christies Beach Wastewater Treatment Plant,SA1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-40,N,CBWWPV2
Clare Solar Farm Pty Ltd,Clare Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-69,Y,CLARESF1
Stanwell Corporation Limited ,Clarke Creek Wind Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-77,Y,CLRKCWF1
Stanwell Corporation Limited ,Clarke Creek Wind Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,78-100,Y,CLRKCWF2
EDL LFG (Vic) Pty Ltd,Clayton Landfill Gas Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Nov,N,CLAYTON
Pacific Hydro Clements Gap Pty Ltd,Clements Gap Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-27,N,CLEMGPWF
Clermont Asset Co Pty Ltd ATF Clermont Solar Unit Trust,Clermont Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-37,Y,CLERMSF1
AGL Hydro Partnership,Clover Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,CLOVER
Hydro-Electric Corporation,Cluny Power Station,TAS1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,CLUNY
Energy Pacific (Vic) Pty Ltd,Codrington Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,N,CODRNGTON
Enel Energy Australia Pty Ltd,Cohuna Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-19,Y,COHUNSF1
Coleambally Solar Pty Ltd,Coleambally Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-90,Y,COLEASF1
Collector Wind Farm Pty Ltd,Collector Wind Farm 1,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-54,Y,COLWF01
Braemar Power Project Pty Ltd ,Collinsville Solar PV Power Station,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-17,Y,CSPVPS1
Snowy Hydro Limited,Colongra Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,CG1
Snowy Hydro Limited,Colongra Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,CG2
Snowy Hydro Limited,Colongra Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,CG3
Snowy Hydro Limited,Colongra Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,Y,CG4
Columboola Solar Farm Nominees Pty Ltd as Trustee for Columboola Solar Farm Op Trust,Columboola Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-79,Y,COLUMSF1
QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Mar,Y,CPSA
Cape Byron Management Pty Ltd,Condong Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,N,CONDONG1
Coonooer Bridge Wind Farm Pty Ltd,Coonooer Bridge Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1,N,CBWF1
PARF Company 10 Pty Limited as The Trustee for Coopers Gap Project Trust,Coopers Gap Wind Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-123,Y,COOPGWF1
AGL Hydro Partnership,Copeton Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,COPTNHYD
Corowa Operationsco Pty Ltd As The Trustee For Corowa Operations Trust,Corowa Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-22,Y,CRWASF1
Crookwell Development Pty Ltd ,Crookwell 2 Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-28,Y,CROOKWF2
Crookwell 3 Development Pty Ltd,Crookwell 3 Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-16,N,CROOKWF3
Pacific Hydro Crowlands Pty Ltd ,Crowlands Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-39,Y,CROWLWF1
CRWF Nominees Pty Ltd As Trustee For The CRWF Trust,Crudine Ridge Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 1-37,Y,CRURWF1
Culcairn Solar Farm Pty Ltd as trustee for Culcairn Solar Farm Trust,Culcairn Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,1-111,Y,CUSF1
Cullerin Range Wind Farm Pty Ltd,Cullerin Range Wind Farm,NSW1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-15,N,CULLRGWF
CS Energy Limited,Greenbank BESS,QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,1-108,Y,GREENB1
Origin Energy Electricity Limited,Darling Downs Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Apr,Y,DDPS1
Darling Downs Solar Farm Pty Ltd ,Darling Downs Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar ,Renewable,Photovoltaic Flat Panel,Jan-44,Y,DDSF1
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,Jan-17,Y,BALB1
Darlington Point Solar Farm Pty Ltd ,Darlington Point Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-108,Y,DARLSF1
AGL Hydro Partnership,Dartmouth Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,DARTM1
Daydream Solar Farm Pty Ltd As The Trustee For The Daydream Solar Farm Trust,Daydream Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-61,Y,DAYDSF1
Hydro-Electric Corporation,Devils Gate Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,DEVILS_G
Y.E.S. Energy (SA) Pty Ltd,Diapur Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,N,DIAPURWF1
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,DRYCGT1
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,DRYCGT2
Synergen Power Pty Limited,Dry Creek Gas Turbine Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,DRYCGT3
Dulacca Energy Project Co Pty Ltd,Dulacca Wind Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-43,Y,DULAWF1
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-40,Y,DUNDWF1
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,41-51,Y,DUNDWF2
Dundonnell Wind Farm Pty Ltd,Dundonnell Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,52-80,Y,DUNDWF3
