Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
New England Solar Farm as Trustee of the New England Solar Project Trust,New England Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-144,Y,NEWENSF1
New England Solar Farm as Trustee of the New England Solar Project Trust,New England Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,145-288,Y,NEWENSF2
EnergyAustralia Ecogen Pty Ltd,Newport Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Steam Sub-Critical,1,Y,NPS
AGL SA Generation Pty Limited,North Brown Hill Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-63,N,NBHWF1
Numurkah Solar Farm Pty Ltd,Numurkah Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-56,Y,NUMURSF1
PARF Company 6 Pty Ltd as The Trustee for Project Trust,Nyngan Solar Plant,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-154,N,NYNGAN1
Diamond Energy Pty Ltd,Oakey 1 Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Dec,Y,OAKEY1SF
Diamond Energy Pty Ltd,Oakey 2 Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-26,Y,OAKEY2SF
Shell Energy Retail Pty Ltd,Oakey Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,OAKEY1
Shell Energy Retail Pty Ltd,Oakey Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,OAKEY2
AGL Hydro Partnership,Oaklands Hill Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,N,OAKLAND1
EDL (OCI) Pty Limited,Oaky Creek 2,QLD1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,Y,OAKY2
EDL (OCI) Pty Limited,Oaky Creek Power Station,QLD1,Generating Unit,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,Jan-16,Y,OAKYCREK
Origin Energy Electricity Limited,Osborne Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Feb,Y,OSB-AG
Hydro-Electric Corporation,Paloona Power Station,TAS1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,PALOONA
Parkes Solar Farm Pty Ltd,Parkes Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-22,Y,PARSF1
Pelican Point Power Limited,Pelican Point Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Mar,Y,PPCCGT
Munmorah Battery ProjectCo Pty Ltd ,Waratah Super Battery,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-288,Y,WTAHB1
AGL Hydro Partnership,Pindari Hydro Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,PINDARI
Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mill,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,N,-
Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mill,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,N,-
Hydro-Electric Corporation,Poatina Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,Y,POAT110
Hydro-Electric Corporation,Poatina Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3-Jun,Y,POAT220
Iberdrola Australia Energy Markets Pty Limited,Port Augusta Renewable Energy Park,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-36,Y,PAREPS1
Iberdrola Australia Energy Markets Pty Limited,Port Augusta Renewable Energy Park,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-50,Y,PAREPW1
Synergen Power Pty Limited,Port Lincoln Gas Turbine,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Feb,Y,POR01
Synergen Power Pty Limited,Port Lincoln Gas Turbine,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),PL3,Y,POR03
Pacific Hydro Portland Wind Farm Pty Ltd,Portland Wind Farm,VIC1,Generating Unit,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,74,N,-
Snowy Hydro Limited,Pt Stanvac Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-36,Y,PTSTAN1
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,QPS1
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,QPS2
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,QPS3
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,Y,QPS4
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5,Y,QPS5
Origin Energy Electricity Limited,Eraring Battery Energy Storage System,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery,140,Y,ERB01 
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Queanbeyan BESS,NSW1,Generating Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter, 1-8,Y,QBYNBG1
Berrybank 2 Asset Pty Ltd as trustee for Berrybank 2 Asset Trust,Queanbeyan BESS,NSW1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter, 1-8,Y,QBYNBL1
Mackay Sugar Limited,Racecourse Mill Power Station,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1-Mar,N,RACOMIL1
Shell Energy Retail Pty Ltd,Koorangie Energy Storage System,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-100,Y,KESSB1
Hydro-Electric Corporation,Reece Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,REECE1
Hydro-Electric Corporation,Reece Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2,Y,REECE2
Hydro-Electric Corporation,Repulse Power Station,TAS1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,REPULSE
Shell Energy Retail Pty Ltd,Rangebank BESS,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-64,Y,RANGEB1
Shell Energy Retail Pty Ltd,Riverina Energy Storage System 1,NSW1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-48,Y,RESS1
W.H. Heck & Sons Proprietary Limited,Rocky Point Cogeneration Plant,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,N,RPCG
Origin Energy Electricity Limited,Roma Gas Turbine Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),7,Y,ROMA_7
Origin Energy Electricity Limited,Roma Gas Turbine Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),8,Y,ROMA_8
Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust ,Ross River Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-64,Y,RRSF1
Hydro-Electric Corporation,Rowallan Power Station,TAS1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,ROWALLAN
Royalla Solar Farm Pty Limited,Royalla Solar Farm,NSW1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-20,N,ROYALLA1
AGL Hydro Partnership,Rubicon Mountain Streams Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-May,Y,RUBICON
Braemar Power Project Pty Ltd,Rugby Run Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-25,N,RUGBYR1
Ryan Corner Development Pty Ltd,Ryan Corner Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-52,Y,RYANCWF1
Rye Park Renewable Energy Pty Ltd as trustee for Rye Park Wind Farm Trust,Rye Park Renewable Energy,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-66,Y,RYEPARK1
Salt Creek Wind Farm Pty Ltd,Salt Creek Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-15,Y,SALTCRK1
The Trustee For The SWF1 Operations Trust,Sapphire Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-75,Y,SAPHWF1
Sebastopol Asset Co Pty Ltd as Trustee for the Sebastopol Asset Trust,Sebastopol Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-40,Y,SEBSF1
Diamond Energy Pty Ltd,Shepparton Wastewater Treatment Facility,VIC1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage / Waste Water,Combustion,Compression Reciprocating Engine,1,N,SHEP1
Origin Energy Electricity Limited,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Apr,Y,SHGEN
Origin Energy Electricity Limited,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Load,Market,Scheduled,-,-,-,-,1-Apr,Y,SHPUMP
Shoalhaven Starches Pty Ltd,Shoalhaven Starches Cogeneration Plant,NSW1,Generating Unit,Non-Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-Feb,Y,SHOAL1
PARF Company 8 Pty Ltd as The Trustee for Silverton Project Trust,Silverton Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-58,Y,STWF1
Smithfield Power Generation Pty Ltd,Smithfield Energy Facility,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Mar,Y,SITHE01
Port Adelaide Energy Pty Ltd,Snapper Point Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-May,Y,SNAPPER1
Snowtown Wind Farm Stage 2 Pty Ltd,Snowtown South Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-42,N,SNOWSTH1
Snowtown Wind Farm Stage 2 Pty Ltd,Snowtown Wind Farm Stage 2 North,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,N,SNOWNTH1
Snowtown Wind Farm Pty Ltd,Snowtown Wind Farm Units 1 And 47,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-47,N,SNOWTWN1
Synergen Power Pty Limited,Snuggery Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,Y,SNUG1
